brandId,brandName,aliases,categoryId,logo,luxuryLevel,rankingWeight,brandStatus,originCountryId
aqua,AQUA+,[],fashion,,fashion,50,active,
atsuro-tayama,Atsuro Tayama,[],fashion,,fashion,50,active,
bricks-house,Bricks House,[],fashion,,fashion,50,active,
cdf-beauty,cdf Beauty,[],beauty,,fashion,50,active,
cocktail,Cocktail,[],fashion,,fashion,50,active,
comvita,Comvita,[],fashion,,fashion,50,active,
dr-kong,Dr. Kong,[],fashion,,fashion,50,active,
egg-optical-boutique,eGG Optical Boutique,[],fashion,,fashion,50,active,
fortress,Fortress,[],fashion,,fashion,50,active,
her-own-words,Her own words,[],fashion,,fashion,50,active,
hk-jebn,HK JEBN,[],fashion,,fashion,50,active,
initial,initial,[],fashion,,fashion,50,active,
i-t,i.t,[],fashion,,fashion,50,active,
kinji,KINJI,[],fashion,,fashion,50,active,
la-compagnie-des-petits,La Compagnie des Petits,[],fashion,,fashion,50,active,
life-kan,LIFE KAN,[],fashion,,fashion,50,active,
lukfook-jewellery,Lukfook Jewellery,[],jewelry-watches,,fashion,50,active,
mabelle,MaBelle,[],fashion,,fashion,50,active,
mannings,Mannings,[],fashion,,fashion,50,active,
maryling,MARYLING,[],fashion,,fashion,50,active,
optical-88,OPTICAL 88 Factory,[],fashion,,fashion,50,active,
popcorn,Popcorn,[],fashion,,fashion,50,active,
rue-madame,Rue Madame,[],fashion,,fashion,50,active,
sa-sa,Sa Sa,[],fashion,,fashion,50,active,
simply-toys,Simply Toys,[],kids,,fashion,50,active,
taste,TaSTe,[],fashion,,fashion,50,active,
tsl,TSL,[],fashion,,fashion,50,active,
vivaia,VIVAIA,[],fashion,,fashion,50,active,
georg-jensen,Georg Jensen,[],fashion,,fashion,50,active,
go-wild,GO WILD,[],fashion,,fashion,50,active,
duty-zero-by-cdf,DUTY ZERO by cdf,[],fashion,,fashion,50,active,
ag-jeans,AG Jeans,[],fashion,,fashion,50,active,
ann-taylor,Ann Taylor,[],fashion,,fashion,50,active,
aritzia,Aritzia,[],fashion,,fashion,50,active,
buck-mason,Buck Mason,[],fashion,,fashion,50,active,
chicos,Chico's Off The Rack,[],fashion,,fashion,50,active,
david-yurman,David Yurman,[],fashion,,fashion,50,active,
footwork,Footwork,[],shoes-bags,,fashion,50,active,
fragrance-bay,Fragrance Bay,[],beauty,,fashion,50,active,
frankies-bikinis,Frankies Bikinis,[],fashion,,fashion,50,active,
gymboree,Gymboree,[],kids,,fashion,50,active,
kevin-jewelers,Kevin Jewelers,[],jewelry-watches,,fashion,50,active,
khanbogd,Khanbogd,[],fashion,,fashion,50,active,
louis-castel,Louis Castel,[],fashion,,fashion,50,active,
outerknown,Outerknown,[],fashion,,fashion,50,active,
paradise-toys,Paradise Toys,[],kids,,fashion,50,active,
rails,Rails,[],fashion,,fashion,50,active,
rebag,Rebag,[],shoes-bags,,fashion,50,active,
reformation,Reformation,[],fashion,,fashion,50,active,
sferra,SFERRA,[],home-lifestyle,,lifestyle,50,active,
shades-in-the-desert,Shades In The Desert,[],fashion,,fashion,50,active,
skims,Skims,[],fashion,,fashion,50,active,
tokyo-beauty,Tokyo Beauty,[],beauty,,fashion,50,active,
travismathew,TravisMathew,[],sportswear,,sports,50,active,
banter-by-piercing-pagoda,Banter by Piercing Pagoda,[],jewelry-watches,,fashion,50,active,
boxlunch,BoxLunch,[],home-lifestyle,,lifestyle,50,active,
bring-it-back,Bring It Back,[],fashion,,fashion,50,active,
bylt,BYLT,[],fashion,,fashion,50,active,
oshkosh-bgosh,Oshkosh Bgosh,[],kids,,fashion,50,active,
cbd-bloomstem,CBD Bloomstem,[],home-lifestyle,,lifestyle,50,active,
culture-kings,Culture Kings,[],fashion,,fashion,50,active,
express,Express,[],fashion,,fashion,50,active,
fashion-q,Fashion Q,[],fashion,,fashion,50,active,
inspire-me,Inspire Me,[],fashion,,fashion,50,active,
kalifano,Kalifano,[],fashion,,fashion,50,active,
lucchese-bootmaker,Lucchese Bootmaker,[],shoes-bags,,fashion,50,active,
luxury-beauty-store,LUXURY BEAUTY STORE,[],beauty,,fashion,50,active,
oliver-peoples,Oliver Peoples,[],fashion,,fashion,50,active,
perfumes-4u,Perfumes 4U,[],beauty,,fashion,50,active,
purple,Purple,[],fashion,,fashion,50,active,
racing-miami,Racing Miami Las Vegas,[],fashion,,fashion,50,active,
retro-city-games,Retro City Games,[],home-lifestyle,,lifestyle,50,active,
reyn-spooner,Reyn Spooner,[],fashion,,fashion,50,active,
vercini,Vercini,[],fashion,,fashion,50,active,
viva-vegas-gifts,Viva Vegas Gifts,[],home-lifestyle,,lifestyle,50,active,
welcome-to-las-vegas,Welcome to Las Vegas,[],fashion,,fashion,50,active,
b-c-stock,B.C Stock,[],fashion,,fashion,50,active,
uraha,Uraha,[],fashion,,fashion,50,active,
boy-london,Boy London,[],fashion,,fashion,50,active,
blue-way,Blue Way,[],fashion,,fashion,50,active,
sst-and-c,SST&C,[],fashion,,fashion,50,active,
bazaar,Bazaar,[],fashion,,fashion,50,active,
arnold-palmer,Arnold Palmer,[],fashion,,fashion,50,active,
roots,Roots,[],fashion,,fashion,50,active,
stayreal,Stayreal,[],fashion,,fashion,50,active,
ty-select,Ty Select,[],fashion,,fashion,50,active,
mon-birdie,Mon Birdie,[],fashion,,fashion,50,active,
yuen,Yuen,[],fashion,,fashion,50,active,
shiatzy-chen,Shiatzy Chen,[],fashion,,fashion,50,active,
nara-camicie,Nara Camicie,[],fashion,,fashion,50,active,
free-area,Free Area,[],fashion,,fashion,50,active,
scottish-house,Scottish House,[],fashion,,fashion,50,active,
gozo,Gozo,[],fashion,,fashion,50,active,
a-la-sha,à la sha,[],fashion,,fashion,50,active,
and-st,and ST,[],fashion,,fashion,50,active,
plain-me,Plain-me,[],fashion,,fashion,50,active,
la-feta,La Féta,[],fashion,,fashion,50,active,
ncaa,NCAA,[],fashion,,fashion,50,active,
gu,GU,[],fashion,,fashion,50,active,
brappers,BRAPPERS,[],fashion,,fashion,50,active,
big-train,BIG TRAIN,[],fashion,,fashion,50,active,
en-suey,en-suey 銀穗,[],fashion,,fashion,50,active,
mode-marie,Mode Marie 曼黛瑪璉,[],fashion,,fashion,50,active,
little-market,LITTLE MARKET,[],fashion,,fashion,50,active,
