restaurantId,outletId,restaurantName,category,priceLevel,website,status,displayOrder,images
citygate-outlets-olea,citygate-outlets,Olea,Food & Beverages,,https://www.citygateoutlets.com.hk/en/dine/olea_updated,active,35,
citygate-outlets-a-cheng-goose,citygate-outlets,A Cheng Goose,Food & Beverages,,https://www.citygateoutlets.com.hk/en/dine/a-cheng-goose-200556,active,2,
citygate-outlets-andante,citygate-outlets,Andante,Food & Beverages,,https://www.citygateoutlets.com.hk/en/dine/andante,active,3,
citygate-outlets-bakehouse,citygate-outlets,Bakehouse,Food & Beverages,,https://www.citygateoutlets.com.hk/en/dine/bakehouse-200497,active,4,
citygate-outlets-blue-bottle-coffee,citygate-outlets,Blue Bottle Coffee,Cafe,,https://www.citygateoutlets.com.hk/en/dine/blue-bottle-coffee-200521,active,5,
citygate-outlets-canton-house,citygate-outlets,Canton House,Food & Beverages,,https://www.citygateoutlets.com.hk/en/dine/canton-house-200559,active,6,
citygate-outlets-chateraise,citygate-outlets,Châteraisé,Food & Beverages,,https://www.citygateoutlets.com.hk/en/dine/chateraise,active,7,
citygate-outlets-chef-hung-taiwanese-beef-noodle,citygate-outlets,Chef Hung Taiwanese Beef Noodle,Food & Beverages,,https://www.citygateoutlets.com.hk/en/dine/chef-hung-taiwanese-beef-noodle,active,8,
citygate-outlets-chun-shui-tang-culture-tea-house,citygate-outlets,Chun Shui Tang Culture Tea House,Food & Beverages,,https://www.citygateoutlets.com.hk/en/dine/chun-shui-tang,active,9,
citygate-outlets-cinnabon,citygate-outlets,Cinnabon,Food & Beverages,,https://www.citygateoutlets.com.hk/en/dine/cinnabon,active,10,
citygate-outlets-cupping-room-coffee-roasters,citygate-outlets,Cupping Room Coffee Roasters,Cafe,,https://www.citygateoutlets.com.hk/en/dine/cupping-room-200161,active,11,
citygate-outlets-dab-pa-modern-chinese-cuisine,citygate-outlets,Dab-pa Modern Chinese Cuisine,Food & Beverages,,https://www.citygateoutlets.com.hk/en/dine/dak-pa-peking--szechuan-cusine,active,12,
citygate-outlets-essence,citygate-outlets,Essence,Food & Beverages,,https://www.citygateoutlets.com.hk/en/dine/essence-novotel,active,13,
citygate-outlets-firebird,citygate-outlets,FireBird,Food & Beverages,,https://www.citygateoutlets.com.hk/en/dine/firebird-tsujihan-200289,active,14,
citygate-outlets-food-republic,citygate-outlets,Food Republic,Food & Beverages,,https://www.citygateoutlets.com.hk/en/dine/food-republic-200637,active,15,
citygate-outlets-fresh,citygate-outlets,Fresh,Food & Beverages,,https://www.citygateoutlets.com.hk/en/dine/fresh,active,16,
citygate-outlets-genki-sushi,citygate-outlets,Genki Sushi,Food & Beverages,,https://www.citygateoutlets.com.hk/en/dine/genkisushi,active,17,
citygate-outlets-golden-dragon,citygate-outlets,Golden Dragon,Food & Beverages,,https://www.citygateoutlets.com.hk/en/dine/golden-gragon-200564,active,18,
citygate-outlets-goobne-chicken,citygate-outlets,Goobne Chicken,Food & Beverages,,https://www.citygateoutlets.com.hk/en/dine/goobne-chicken,active,19,
citygate-outlets-gyu-kaku-j,citygate-outlets,Gyu-Kaku J,Food & Beverages,,https://www.citygateoutlets.com.hk/en/dine/gyu-kaku-200535,active,20,
citygate-outlets-hana-musubi,citygate-outlets,hana-musubi,Food & Beverages,,https://www.citygateoutlets.com.hk/en/dine/hana-musubi,active,21,
citygate-outlets-hannosuke,citygate-outlets,HANNOSUKE,Food & Beverages,,https://www.citygateoutlets.com.hk/en/dine/hannosuke,active,22,
citygate-outlets-jasmine,citygate-outlets,Jasmine,Food & Beverages,,https://www.citygateoutlets.com.hk/en/dine/jasmine,active,23,
citygate-outlets-kee-wah-bakery,citygate-outlets,Kee Wah Bakery,Food & Beverages,,https://www.citygateoutlets.com.hk/en/dine/kee-wah-bakery,active,24,
citygate-outlets-law-mark-kee,citygate-outlets,LAW MARK KEE,Food & Beverages,,https://www.citygateoutlets.com.hk/en/dine/law-mark-kee,active,25,
citygate-outlets-lian,citygate-outlets,LIAN,Food & Beverages,,https://www.citygateoutlets.com.hk/en/dine/lian,active,26,
citygate-outlets-luscious-yunnan-rice-noodles,citygate-outlets,Luscious Yunnan Rice Noodles,Food & Beverages,,https://www.citygateoutlets.com.hk/en/dine/luscious-yunnan-rice-noodles,active,27,
citygate-outlets-mcdonald-s-and-mccafe,citygate-outlets,McDonald's & McCafé,Cafe,,https://www.citygateoutlets.com.hk/en/dine/mcdonalds-restaurant-and-mccafe,active,28,
citygate-outlets-meet-fresh,citygate-outlets,Meet Fresh,Food & Beverages,,https://www.citygateoutlets.com.hk/en/dine/meet-fresh-200346,active,29,
citygate-outlets-mister-donut,citygate-outlets,Mister Donut,Food & Beverages,,https://www.citygateoutlets.com.hk/en/dine/mister-donut-200602,active,30,
