guideId,outletId,originType,originId,transportationType,title,estimatedDuration,estimatedCost,recommended,steps,updatedAt
rinku-town-station-to-rinku-premium-outlets-walk,rinku-premium-outlets,station,rinku-town-station,walking,Rinku Town Station to Rinku Premium Outlets on foot,Approx. 6–10 min,Free,true,"[{""order"":1,""description"":""Exit at Rinku Town Station.""},{""order"":2,""description"":""Follow the pedestrian signs toward Rinku Premium Outlets.""},{""order"":3,""description"":""Allow extra time when carrying luggage or using an entrance farther from the station.""}]",2026-08-10
kansai-airport-to-rinku-premium-outlets-train,rinku-premium-outlets,airport,kansai-international-airport,train,Kansai International Airport to Rinku Premium Outlets by train,Approx. 15–20 min including the walk,Approx. JPY 370 one way,true,"[{""order"":1,""description"":""At Kansai International Airport Station, board a JR Kansai Airport Rapid or Nankai Airport train that stops at Rinku Town.""},{""order"":2,""description"":""Ride one stop across the airport bridge to Rinku Town Station.""},{""order"":3,""description"":""Alight at Rinku Town Station.""},{""order"":4,""description"":""Follow the pedestrian signs to Rinku Premium Outlets.""}]",2026-08-10
kansai-airport-to-rinku-premium-outlets-sky-shuttle,rinku-premium-outlets,airport,kansai-international-airport,shuttle,Kansai International Airport to Rinku Premium Outlets by Sky Shuttle,Approx. 15 min,JPY 300 one way adult; JPY 150 child,true,"[{""order"":1,""description"":""At Kansai Airport Terminal 1, go to the 1F bus area and Bus Stop 12.""},{""order"":2,""description"":""Board the direct Sky Shuttle for Rinku Premium Outlets.""},{""order"":3,""description"":""Pay JPY 300 one way for an adult or JPY 150 for a child.""},{""order"":4,""description"":""Ride approximately 15 minutes directly to Rinku Premium Outlets.""},{""order"":5,""description"":""Confirm the current return timetable before shopping.""}]",2026-08-13
tokyo-station-to-gotemba-premium-outlets-bus,gotemba-premium-outlets,station,tokyo-station,bus,Tokyo Station to Gotemba Premium Outlets by direct highway bus,Approx. 1 hr 40 min; traffic may affect travel time,"JPY 1,900–2,200 one way when booked in advance; same-day purchase +JPY 100; onboard fare JPY 2,500",true,"[{""order"":1,""description"":""Go to Tokyo Station Yaesu South Exit.""},{""order"":2,""description"":""Board the direct highway bus signed for Gotemba Premium Outlets.""},{""order"":3,""description"":""Use the reserved fare for the selected travel day; advance fares are JPY 1,900–2,200.""},{""order"":4,""description"":""Keep the same bus for the entire journey.""},{""order"":5,""description"":""Alight directly at Gotemba Premium Outlets.""}]",2026-08-10
shinjuku-highway-bus-terminal-to-gotemba-premium-outlets-bus,gotemba-premium-outlets,station,shinjuku-highway-bus-terminal,bus,Shinjuku Highway Bus Terminal to Gotemba Premium Outlets by direct highway bus,Approx. 1 hr 40–1 hr 50 min; traffic may affect travel time,"JPY 1,900–2,200 one way on JR Bus depending on day/service; Odakyu Bus JPY 2,000 one way",true,"[{""order"":1,""description"":""Go to Shinjuku Highway Bus Terminal (Busta Shinjuku).""},{""order"":2,""description"":""Board a JR Bus or Odakyu direct service signed for Gotemba Premium Outlets.""},{""order"":3,""description"":""Use the fare for the selected service: JPY 1,900–2,200 on JR Bus or JPY 2,000 on Odakyu Bus.""},{""order"":4,""description"":""Keep the same bus for the entire journey.""},{""order"":5,""description"":""Travel directly without transfer.""}]",2026-08-10
jr-gotemba-station-to-gotemba-premium-outlets-shuttle,gotemba-premium-outlets,station,jr-gotemba-station,shuttle,JR Gotemba Station to Gotemba Premium Outlets by free shuttle,Approx. 10–20 min; traffic varies,Free,true,"[{""order"":1,""description"":""Exit JR Gotemba Station at Otomeguchi Exit.""},{""order"":2,""description"":""Board the official free shuttle for Gotemba Premium Outlets.""},{""order"":3,""description"":""Regular daytime departures leave at :00, :15, :30 and :45 each hour.""},{""order"":4,""description"":""Ride via Tomei Gotemba IC to the outlet.""},{""order"":5,""description"":""For the return, use the outlet shuttle stop; regular departures are at :10, :25, :40 and :55.""}]",2026-08-10
tokyo-station-to-mitsui-outlet-park-kisarazu-bus,mitsui-outlet-park-kisarazu,station,tokyo-station,bus,Tokyo Station to Mitsui Outlet Park Kisarazu by direct express bus,Approx. 50 min; traffic varies,"JPY 1,500 one way adult; JPY 750 child",true,"[{""order"":1,""description"":""Go to Bus Terminal Tokyo Yaesu beneath Tokyo Midtown Yaesu.""},{""order"":2,""description"":""Board a direct service for Mitsui Outlet Park Kisarazu.""},{""order"":3,""description"":""Pay the current JPY 1,500 adult fare using the supported payment method.""},{""order"":4,""description"":""Travel directly via the Tokyo Bay Aqua-Line.""},{""order"":5,""description"":""Alight at Mitsui Outlet Park Kisarazu.""}]",2026-08-10
shinjuku-highway-bus-terminal-to-mitsui-outlet-park-kisarazu-bus,mitsui-outlet-park-kisarazu,station,shinjuku-highway-bus-terminal,bus,Shinjuku to Mitsui Outlet Park Kisarazu by direct express bus,Approx. 62 min; traffic varies,"JPY 1,600 one way adult; JPY 800 child",true,"[{""order"":1,""description"":""Go to Busta Shinjuku.""},{""order"":2,""description"":""Board the direct express bus signed for Mitsui Outlet Park Kisarazu.""},{""order"":3,""description"":""Pay the JPY 1,600 adult fare or JPY 800 child fare.""},{""order"":4,""description"":""Travel directly across the Tokyo Bay Aqua-Line.""},{""order"":5,""description"":""Alight at Mitsui Outlet Park Kisarazu.""}]",2026-08-10
haneda-airport-to-mitsui-outlet-park-kisarazu-bus,mitsui-outlet-park-kisarazu,airport,haneda-airport,bus,Haneda Airport to Mitsui Outlet Park Kisarazu by direct airport bus,Approx. 25–40 min depending on terminal/service; traffic varies,"JPY 1,400 one way adult; JPY 700 child",true,"[{""order"":1,""description"":""Go to the appropriate Haneda Airport limousine-bus stop/ticket facility for the current terminal.""},{""order"":2,""description"":""Select the direct Mitsui Outlet Park Kisarazu service.""},{""order"":3,""description"":""Purchase/pay the JPY 1,400 adult fare.""},{""order"":4,""description"":""Board the direct Keikyu/Kominato service.""},{""order"":5,""description"":""Travel across the Tokyo Bay Aqua-Line and alight at the outlet.""}]",2026-08-10
jr-sodegaura-station-to-mitsui-outlet-park-kisarazu-bus,mitsui-outlet-park-kisarazu,station,jr-sodegaura-station,bus,JR Sodegaura Station to Mitsui Outlet Park Kisarazu by local bus,Approx. 10 min; traffic varies,JPY 200 cash / JPY 199 IC one way adult,true,"[{""order"":1,""description"":""Exit JR Sodegaura Station toward the North Exit.""},{""order"":2,""description"":""Find the local bus for Mitsui Outlet Park Kisarazu.""},{""order"":3,""description"":""Use cash or compatible transportation IC card.""},{""order"":4,""description"":""Ride approximately 10 minutes.""},{""order"":5,""description"":""Alight at the outlet.""}]",2026-08-10
